Identifier (Email/name),Gender,Education,Age_Bracket,City,Country,Attended_Event,Attended_Before,How_Found,Date,Event_ID,Event_Name
33e5e4eab02c64bf9ddf3f8fa7b3c7d2,Female,Others,46 - 50,Singapore,Singapore,Yes,No,Other Medium,2018-06-20,46926367027,DataFirst x She Loves Data Singapore SG: From Data to Data StoryTelling
33e5e4eab02c64bf9ddf3f8fa7b3c7d2,Female,Others,46 - 50,Singapore,Singapore,Yes,No,Other Medium,2018-07-24,47917820491,SheLovesData Singapore: #Datadriven x Dentsu Aegis: Data Engineering Meetup
33e5e4eab02c64bf9ddf3f8fa7b3c7d2,Female,Vocational,46 - 50,Singapore,Singapore,Yes,No,Other Medium,2018-10-26,51356671186,SheLovesData Singapore:  Introductory Data Analytics Workshop for Women
33e5e4eab02c64bf9ddf3f8fa7b3c7d2,Female,Others,46 - 50,Singapore,Singapore,Yes,No,Other Medium,2018-11-15,52080118035,SheLovesData Singapore: Martech for the Data-driven Marketers
33e5e4eab02c64bf9ddf3f8fa7b3c7d2,Female,Others,46 - 50,Singapore,Singapore,Yes,No,Subscription,2018-12-06,53009483793,"SheLovesData Singapore Data Talk Series: DATA AND BUSINESS, TWO TRIBES ONE GOAL?"
33e5e4eab02c64bf9ddf3f8fa7b3c7d2,Female,Others,46 - 50,Singapore,Singapore,Yes,No,Facebook,2019-03-14,57288030040,SheLovesData Singapore Meetup: Data is The New Black
490398cefc645b2fae15bcd600ae1851,Female,Bachelors,26 - 30,Melbourne,Australia,No,No,Other Medium,2018-06-28,46494580542,SheLovesData Melbourne AU: Introductory Data Analytics Workshop for Women
37c19a112618749df7118580661e7511,Female,Bachelors,26 - 30,Melbourne,Australia,Yes,No,Friend Circle,2019-03-26,58026704435,SheLovesData Melbourne: Tableau Data Storytelling workshop
dfae9f2bbb39376ab5332980fa96c9f9,Unspecified,Doctorate,Unspecified,Melbourne,Australia,Yes,Unspecified,Unspecified,2019-04-09,59035502778,SheLovesData Melbourne: Introduction to Data Analytics Workshop (April 2019)
d289e477c448ecca22195c793e674766,Female,Bachelors,21 - 25,Jakarta,Indonesia,Yes,No,Friend Circle,2020-03-12,94842764261,SheLovesData Jakarta: Finding your path as a career woman meetup
6bf6701517da4fd74c2e3b2da2243b4e,Female,Masters,36 - 40,Jakarta,Indonesia,Yes,No,Facebook,2020-02-08,90978429933,SheLovesData Jakarta: Introduction to Data
770fbbd6424dd36a22c1cc792409dfca,Female,Undergraduate,15 - 20,Melbourne,Australia,Yes,No,Friend Circle,2018-06-28,46494580542,SheLovesData Melbourne AU: Introductory Data Analytics Workshop for Women
df8be636cb4461f1900ee55dcda35444,Female,Bachelors,41 - 45,Hong_Kong,Hong Kong (China),No,No,Office Circle,2019-03-21,57675822939,SheLovesData HongKong: Intro to Data Workshop for Women (March 2019)
308542ee1f23826a3dfc6b8f64a01f0b,Female,Bachelors,15 - 20,Jakarta,Indonesia,Yes,No,Facebook,2019-06-20,62524980901,SheLovesData Jakarta Meetup: Let's talk about Ethics in Data
308542ee1f23826a3dfc6b8f64a01f0b,Male,Undergraduate,21 - 25,Jakarta,Indonesia,Yes,No,Subscription,2019-08-03,66474710649,SheLovesData Jakarta: Intermediate data visualization workshop for women
59f3eeeae42c4403a51eb59a1033a054,Female,Others,15 - 20,Singapore,Singapore,Yes,No,Other Medium,2018-06-20,46926367027,DataFirst x She Loves Data Singapore SG: From Data to Data StoryTelling
f818f5b0eabfb42ce7b3b3f4c5a2bd6e,Female,Bachelors,21 - 25,Kuala_Lumpur,Malaysia,Yes,No,Friend Circle,2020-01-18,88661237147,SheLovesData Malaysia: Free Introduction to Data Visualization using Power BI
389e4318a933e1b6568553f56242a9c5,Male,Undergraduate,15 - 20,Singapore,Singapore,Yes,No,Facebook,2019-11-22,75585106087,SheLovesData/TIBCO Hackathon: Hack your way to a healthier lifestyle
e0783d92e77ca6f2b4cf11bd89652dfc,Female,Bachelors,21 - 25,Kuala_Lumpur,Malaysia,Yes,No,Subscription,2020-01-18,88661237147,SheLovesData Malaysia: Free Introduction to Data Visualization using Power BI
8380b0f8968fe02da398828b2793e2ba,Female,Masters,21 - 25,Hong_Kong,Hong Kong (China),Yes,No,Friend Circle,2019-03-20,58127559094,SheLovesData HongKong Meetup: Data is the New Black
e9626e2a8b7a7ed43798d324e862d4c4,Female,Bachelors,31 - 35,Melbourne,Australia,Yes,No,Facebook,2018-11-28,51569300165,SheLovesData Melbourne AU: Introductory Data Analytics Workshop for Women
1b58e610b1c70f48a79f448c025de34e,Female,Bachelors,21 - 25,Singapore,Singapore,Yes,No,Facebook,2018-10-26,51356671186,SheLovesData Singapore:  Introductory Data Analytics Workshop for Women
2d317de7b7f9d6d3f4b22ce715c6b9be,Male,Masters,21 - 25,Melbourne,Australia,Yes,No,Facebook,2019-03-26,58026704435,SheLovesData Melbourne: Tableau Data Storytelling workshop
018a97b97c5b450b12192aa5dfad7ee2,Female,Masters,41 - 45,Los_Angeles,USA,Yes,No,LinkedIn,2019-05-18,59928870866,SheLovesData Los Angeles: Introduction to Data Analytics Workshop (May 2019)
a0a63dedbc4cdd3d8d99879faa5148f0,Female,Bachelors,31 - 35,Melbourne,Australia,Yes,No,Friend Circle,2018-11-28,51569300165,SheLovesData Melbourne AU: Introductory Data Analytics Workshop for Women
ae123718b7f90f52f8f87022ec99d0ec,Female,Doctorate,31 - 35,Sydney,Australia,Yes,No,Facebook,2019-09-06,70422143527,SheLovesData Sydney: Free Introduction to Data Analytics Workshop for women (September 2019)
ae123718b7f90f52f8f87022ec99d0ec,Female,Masters,31 - 35,Sydney,Australia,Yes,Yes,Other Medium,2019-10-26,74531089495, SheLovesData Sydney: Introduction to Python Programming for Data
1249f8ba4924c3ae4039bba428aaa114,Female,Bachelors,46 - 50,Los_Angeles,USA,Yes,No,Office Circle,2019-09-28,71139045801,SheLovesData Los Angeles: Introduction to Data Analytics Workshop (September 2019)
e6354f2ea994a341e67f55411ec7b76e,Female,Bachelors,21 - 25,Singapore,Singapore,Yes,Yes,Other Medium,2018-07-24,47917820491,SheLovesData Singapore: #Datadriven x Dentsu Aegis: Data Engineering Meetup
72eec2fb1441b156571441febb69e593,Female,Masters,21 - 25,Sydney,Australia,Yes,No,Friend Circle,2018-10-29,50018833678,SheLovesData Sydney AU: Introductory Data Analytics Workshop for Women (October 2018)
df51dece9b92838bd01714cb1e97307e,Female,Masters,26 - 30,Sydney,Australia,Yes,No,Facebook,2019-02-05,54434747796,SheLovesData Sydney: Introductory Data Analytics Workshop (Feb 2019)
dd3a1e8b4eba3589912a133f10190e3b,Female,Others,26 - 30,Jakarta,Indonesia,Yes,No,Friend Circle,2019-07-27,64731065359,SheLovesData Jakarta: Content Marketing & Social Media Workshop
115057dd2fdd82b9d1cc4da78ed0ee09,Female,Masters,21 - 25,Sydney,Australia,Yes,No,Friend Circle,2018-10-29,50018833678,SheLovesData Sydney AU: Introductory Data Analytics Workshop for Women (October 2018)
8a13d60327e289971586a4a957c80190,Female,Bachelors,21 - 25,Hong_Kong,Hong Kong (China),Yes,No,LinkedIn,2019-03-20,58127559094,SheLovesData HongKong Meetup: Data is the New Black
9fb1d6a26be0ee61dd794ab0099539bf,Female,Others,46 - 50,Auckland,New Zealand,Yes,No,Office Circle,2018-07-03,47042971795,She Loves Data Auckland NZ: Introduction to Data Analytics Workshop for Women
bcc9eb92f106f63bff68b446f3f1a5f1,Female,Vocational,46 - 50,Singapore,Singapore,Yes,Yes,Facebook,2019-11-22,75585106087,SheLovesData/TIBCO Hackathon: Hack your way to a healthier lifestyle
bcc9eb92f106f63bff68b446f3f1a5f1,Female,Vocational,46 - 50,Singapore,Singapore,Yes,No,Subscription,2019-11-28,82610154195,Free She Loves Data’s Data Engineering Series :  Qubole Presto Singapore MeetUp
bcc9eb92f106f63bff68b446f3f1a5f1,Female,Vocational,46 - 50,Singapore,Singapore,Yes,No,Subscription,2020-01-15,83453992137,Free SheLovesData Singapore Meetup: How to explore and navigate analytics dashboards
e599c216f172fe7ebaf8b55cba907f07,Female,Masters,26 - 30,Auckland,New Zealand,Yes,No,Friend Circle,2018-07-03,47042971795,She Loves Data Auckland NZ: Introduction to Data Analytics Workshop for Women
a8f3191976f92123a6d49dd5040c51dd,Female,Doctorate,31 - 35,Singapore,Singapore,Yes,No,Facebook,2018-11-28,52748060870,SheLovesData Singapore: Digital Marketing Analytics
a8f3191976f92123a6d49dd5040c51dd,Female,Doctorate,31 - 35,Singapore,Singapore,Yes,Yes,Friend Circle,2018-12-06,53009483793,"SheLovesData Singapore Data Talk Series: DATA AND BUSINESS, TWO TRIBES ONE GOAL?"
babb6f3fa1336fddbb11d2523af0b9b8,Male,Bachelors,15 - 20,Singapore,Singapore,Yes,No,Friend Circle,2019-11-22,75585106087,SheLovesData/TIBCO Hackathon: Hack your way to a healthier lifestyle
5a965669bba12e9ed82e6a39a7cd21d6,Female,Masters,26 - 30,Singapore,Singapore,Yes,No,Facebook,2019-06-07,62510752343,Digital Marketing Analytics: Singapore
777d2dadc598b02a06652ebc728138fb,Female,Bachelors,21 - 25,Hong_Kong,Hong Kong (China),No,No,Friend Circle,2019-03-21,57675822939,SheLovesData HongKong: Intro to Data Workshop for Women (March 2019)
39d61a1f961cb789132a0263a1c2d9c7,Female,Masters,36 - 40,Sydney,Australia,Yes,No,Facebook,2019-02-05,54434747796,SheLovesData Sydney: Introductory Data Analytics Workshop (Feb 2019)
95ad0138375b58680231856411ffcd08,Unspecified,Bachelors,21 - 25,Singapore,Singapore,No,No,Facebook,2019-03-14,57288030040,SheLovesData Singapore Meetup: Data is The New Black
6afe02cc18a35edcb5bfcdbe372ca8db,Unspecified,Masters,41 - 45,Melbourne,Australia,No,No,Facebook,2019-08-24,67987679981,SheLovesData Melbourne: Introduction to Python programming for data analysis
0575a7c2390d95d4844ee7b7a366ed35,Unspecified,Masters,31 - 35,Melbourne,Australia,No,No,Friend Circle,2019-03-26,58026704435,SheLovesData Melbourne: Tableau Data Storytelling workshop
0575a7c2390d95d4844ee7b7a366ed35,Unspecified,Masters,31 - 35,Melbourne,Australia,No,No,Friend Circle,2019-04-09,59035502778,SheLovesData Melbourne: Introduction to Data Analytics Workshop (April 2019)
a53e768c63ccf9f418c031224e085442,Unspecified,Masters,26 - 30,Jakarta,Indonesia,Yes,No,Facebook,2019-06-29,63418250695,SheLovesData Jakarta: Free Introduction to Data Analytics Workshop for Women
78480716707caae29377c4c23c47ed15,Unspecified,Doctorate,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2018-11-28,52748060870,SheLovesData Singapore: Digital Marketing Analytics
08af52891430ef2c115d488247965eef,Unspecified,Doctorate,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2018-12-06,53009483793,"SheLovesData Singapore Data Talk Series: DATA AND BUSINESS, TWO TRIBES ONE GOAL?"
bf2d573818b9901efaa66aa6f5449cbb,Unspecified,Doctorate,Unspecified,Singapore,Singapore,No,Unspecified,Unspecified,2019-01-17,54274046133,SheLovesData Singapore: R Programming Workshop
