Identifier (Email/name),Gender,Education,Age_Bracket,City,Country,Attended_Event,Attended_Before,How_Found,Date,Event_ID,Event_Name
2a910bae9c70dc853b92842ed8485368,Female,Others,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Intro to Data (DG)
5462ac70abad1655ec6dd2ca9726f07b,Female,Bachelors,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Intro to Data (DG)
5ca3a47a8bca226dcd654b0464ea1c17,Female,Masters,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Intro to Data (DG)
163c4aea0078fb5e53f025a634530d20,Female,Bachelors,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Intro to Data (DG)
580729262a91893193993b686e2154e1,Female,Bachelors,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Intro to Data (DG)
487483cc584eb6d48d45ad70f2a066ce,Female,Masters,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Intro to Data (DG)
1fbf9a788bd85d678ba6b6dee7ad55f8,Female,Bachelors,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Intro to Data (DG)
ec0217a47b8164aca0155df79ca047f3,Female,Masters,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Intro to Data (DG)
0abed892b507b64adc46cf191d3419f4,Female,Masters,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Intro to Data (DG)
e6580172cde799881dca76462e34da6b,Female,Bachelors,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Intro to Data (DG)
85d1fa534d9f3531c1e22ded323f49a5,Female,Bachelors,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Intro to Data (DG)
0fd4d869d14b35f9b5421b115bbe831d,Female,Masters,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Intro to Data (DG)
40d245bb83a1cd46933b172d8cdaded7,Female,Masters,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Intro to Data (DG)
c264106c45477f24045961b6fdca4faa,Female,Bachelors,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Intro to Data (DG)
41d15af22f7e17043c8ffdc0b182978c,Female,Masters,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Intro to Data (DG)
c73821e67bc11e84719a86f65d97e635,Female,Masters,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Intro to Data (DG)
e257099a2f248822ebf4f5e91fff9a6c,Female,Bachelors,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Intro to Data (DG)
dd36009ee311467a015971ac22d03a5d,Female,Bachelors,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Intro to Data (DG)
53488661a2dce4a8ac30855087bdc7c7,Female,Masters,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Intro to Data (DG)
dd8f4583b5837f8468ca7ac6873d6800,Female,Bachelors,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Intro to Data (DG)
