Identifier (Email/name),Gender,Education,Age_Bracket,City,Country,Attended_Event,Attended_Before,How_Found,Date,Event_ID,Event_Name,Event_Name (1),Sheet
2a910bae9c70dc853b92842ed8485368,Female,Others,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
5462ac70abad1655ec6dd2ca9726f07b,Female,Bachelors,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
5ca3a47a8bca226dcd654b0464ea1c17,Female,Masters,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
163c4aea0078fb5e53f025a634530d20,Female,Bachelors,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
580729262a91893193993b686e2154e1,Female,Bachelors,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
487483cc584eb6d48d45ad70f2a066ce,Female,Masters,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
1fbf9a788bd85d678ba6b6dee7ad55f8,Female,Bachelors,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
ec0217a47b8164aca0155df79ca047f3,Female,Masters,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
0abed892b507b64adc46cf191d3419f4,Female,Masters,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
e6580172cde799881dca76462e34da6b,Female,Bachelors,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
85d1fa534d9f3531c1e22ded323f49a5,Female,Bachelors,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
0fd4d869d14b35f9b5421b115bbe831d,Female,Masters,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
40d245bb83a1cd46933b172d8cdaded7,Female,Masters,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
c264106c45477f24045961b6fdca4faa,Female,Bachelors,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
41d15af22f7e17043c8ffdc0b182978c,Female,Masters,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
c73821e67bc11e84719a86f65d97e635,Female,Masters,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
e257099a2f248822ebf4f5e91fff9a6c,Female,Bachelors,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
dd36009ee311467a015971ac22d03a5d,Female,Bachelors,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
53488661a2dce4a8ac30855087bdc7c7,Female,Masters,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
dd8f4583b5837f8468ca7ac6873d6800,Female,Bachelors,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
dde8c3017d666e7ac57c1196d69fb40d,Female,Masters,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
2aa4a02ffb95de350c79dc35d6468765,Female,Masters,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
983a7aeb1a8892c111716d2fdfddae9e,Female,Masters,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
be43ce3c5971a0570f9681a6259f47a3,Female,Masters,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
3301972bfd020716944a561f9c2617bd,Female,Bachelors,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
b4e0d3e9e4de823ec0dd04971ef4ba5f,Female,Bachelors,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
a42a48038db771087a7baf3152384aaa,Female,Bachelors,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
224c0fe0ec9949d9556ebf956b9d1db1,Female,Bachelors,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
ae720dea923b4be01e6ed1e2309fc9cf,Female,Masters,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
3006b7b606e0a69cc1e8f6f147b9bc52,Female,Bachelors,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
511913ea9fa47ed1bcbcf89c6ce4d2dc,Female,Masters,Unspecified,Singapore,Singapore,Yes,Unspecified,Unspecified,2016-01-01,1,Introduction to Data Analytics,Introduction to Data Analytics,BEFORE
