Identifier (Email/name),Gender,Status,Attended,Attended_Before,Education,Job,Employer,LinkedIn,Tech_Background,How_Found,Expectations,Formated_Date,City,Venue,Type,Ticket_Quantity,fake_event_id
2a910bae9c70dc853b92842ed8485368,Female,,Y,,Started my company at 16.,VSS - Founder,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
5462ac70abad1655ec6dd2ca9726f07b,Female,,Y,,"NUS, Bachelors in Arts and Social Science (Communications and New Media)","General Assembly, Instructional Associate for the UX course",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
5ca3a47a8bca226dcd654b0464ea1c17,Female,,Y,,NUS mba,Corporate planning in Construction industry,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
163c4aea0078fb5e53f025a634530d20,Female,,Y,,NUS. Industrial Engineering,Mediacom.Business Science,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
580729262a91893193993b686e2154e1,Female,,Y,,"NYU Stern School of Business, B.S. in Finance","Criteo, Account Strategist",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
487483cc584eb6d48d45ad70f2a066ce,Female,,Y,,NUS and University of Leicester. Highest degree is MA.,Currently a student at GA.,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
1fbf9a788bd85d678ba6b6dee7ad55f8,Female,,Y,,"NUS, BA (Hons Japanese Studies), BA (English Language)","NIE, admin manager",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
ec0217a47b8164aca0155df79ca047f3,Female,,Y,,"Nanyang Technological University, Business (marketing) degree","Global bearing manufacturing firm, strategic marketing",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
0abed892b507b64adc46cf191d3419f4,Female,,Y,,Nanyang Polytechnic; Diploma in Digital and Precision Engineering,Manufacturing Engineering.,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
e6580172cde799881dca76462e34da6b,Female,,Y,,"Bachelor in Communication Studies, Communication Research, NTU",I'm a senior research analyst at a market research company,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
85d1fa534d9f3531c1e22ded323f49a5,Female,,Y,,NUS BACHELOR OF SCIENCE,"Restructured hospital, RHS",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
0fd4d869d14b35f9b5421b115bbe831d,Female,,Y,,"SMU, Double Degree with Bachelor of Business Management and Bachelor of Social Science","EDB, industry development officer",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
40d245bb83a1cd46933b172d8cdaded7,Female,,Y,,"Omsk State University (Russia), Faculty of Philology, specialist diploma.",Right now I look for job and don't work. I'm interested in work in startups.,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
c264106c45477f24045961b6fdca4faa,Female,,Y,,BA,Civil service     Research,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
41d15af22f7e17043c8ffdc0b182978c,Female,,Y,,National University of Singapore (NUS) - Bachelor of Science majoring in Microbiology and Biochemistry.  Institute of Systems Science (ISS) from NUS - Post-Graduate Diploma in Systems Analysis.,"I am currently not working, was retrenched.",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
c73821e67bc11e84719a86f65d97e635,Female,,Y,,Masters in Engineering,"INTELLLEX, product manager.",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
e257099a2f248822ebf4f5e91fff9a6c,Female,,Y,,"University of Nottingham, UK. BSc. (Hons) Economics & Econometrics","Learning company, managing business unit",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
dd36009ee311467a015971ac22d03a5d,Female,,Y,,Singapore. Degree.,Financial analyst,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
53488661a2dce4a8ac30855087bdc7c7,Female,,Y,,"Ngee Ann Poly, a diploma in mass communication",I freelance as a writer.,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
dd8f4583b5837f8468ca7ac6873d6800,Female,,Y,,UniSIM  Multimedia technology and design,Craft & Code  Working as technologist,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
dde8c3017d666e7ac57c1196d69fb40d,Female,,Y,,I went to University of Wisconsin-Madison and have a Ph.D. in Endocrinology and Reproductive Physiology.,"I work at IMCB, A*STAR and I am a research fellow.",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
2aa4a02ffb95de350c79dc35d6468765,Female,,Y,,I completed the Master degree in National University of Singapore (NUS) in 2015.,I was in a event management company and am looking for a role as research analyst now.,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
983a7aeb1a8892c111716d2fdfddae9e,Female,,Y,,London School of Economics and Political Science - MSc in Public Policy,I'm a journalist at Singapore's The Straits Times where I cover issues related to education. Currently we're experimenting with using data/visualizations to tell news stories better,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
be43ce3c5971a0570f9681a6259f47a3,Female,,Y,,"Singapore polytechnic, diploma","PDAA design, a landscape consultancy company, as a landscape designer",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
3301972bfd020716944a561f9c2617bd,Female,,Y,,SMU Law undergraduate degree,"Norton rose fulbright, business development",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
b4e0d3e9e4de823ec0dd04971ef4ba5f,Female,,Y,,"University at Buffalo, New York","Purpleclick Media Pte Ltd, Digital Consultant",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
a42a48038db771087a7baf3152384aaa,Female,,Y,,NUS- Bachelor of Science,CEB- a research an advisory firm.   Account Management Specialist,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
224c0fe0ec9949d9556ebf956b9d1db1,Female,,Y,,"NTU, Bachelor's Degree",Financial company. Digital marketing and e commerce role,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
ae720dea923b4be01e6ed1e2309fc9cf,Female,,Y,,SCGS. ACJC. SMU. Bachelor of Business Management,Borrelli Walsh. Assistant Manager. Financial Advisory,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
3006b7b606e0a69cc1e8f6f147b9bc52,Female,,Y,,"University of Toronto, bachelors degree",I work at Eyeota as a business analyst.,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
511913ea9fa47ed1bcbcf89c6ce4d2dc,Female,,Y,,Singapore University of Technology and Design. Engineering Systems and Design (Business Analytics),"IBM, Working as a consultant in User Experience Design.",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
610b5c04c475e14400756b0eddf55332,Female,,Y,,Indonesia. Bachelor Degree,I'm currently doing a graduate course,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
0a0f5ae7abba16c9ffdea13a5c4ce71e,Female,,Y,,NTU and Bachelor degree.,I am currently working in a commodity firm and doing trading.,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
0bfb53ff6b46a09e0567c8c7ad0d3009,Female,,Y,,University of Wisconsin - Madison   Double degree in Finance and Risk Mgt,"Post graduate management associate, at a bank.",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
57dbc245429bd332f717cb1ae53b490f,Female,,Y,,"University College London, undergrad degree","Just graduated, searching for full-time employment",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
9d49ced91ae918a95990f5e410e9911a,Female,,Y,,"Northumbria University, Bachelors degree in business and HR management","99.co, HR manager",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
c00aadd84fe311b5aca675c67f4a569b,Female,,Y,,"University of Mannheim, Master of Science in Business Informatics","Bosch, IT management trainee",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
b7649961478c4ce9fc85dfaa98b14e06,Female,,Y,,RMIT - Degree in Marketing,I run my own Executive Search Firm,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
b2f41ed302e5d7988d57c0a686ab4bec,Female,,Y,,"UniSIM, master of gerontology","MSF, data and policy management",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
60977c05227a7a12f40f62350be2465f,Female,,Y,,"Highest Qualification: Temasek Polytechnic, Biomedical Science (Pharmaceutical Science & Technology)  Currently Pursuing: SIM University, Business Analytics","Clinical Audit Associate Exec., SNEC",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
046699d480dfecb7e9c0eaa86fd36104,Female,,Y,,Singapore American School  University of Manchester - LL.B  Georgetown University -LL.M    Masters is my highest degree,"I am an Analyst at a start-up Private Equity fund called Capital Square Partners. We're a lean team with 5 employees but have made impressive deals including India's second largest exit in the BPO/IT services space (Google: Minacs Capital Square Partners).     My role is extremely diverse. This is a summary of my tasks at CSP:  A. Investment Research & Deal experience      1. Conducts research into private and public companies’ financial and business performance.       2. Interacts with management of various companies to better understand focus industries, businesses and management’s targets.       3. Analyses legal challenges surrounding acquiring new investments, including take-private situations and tax implications.       4. Assists in drafting term-sheets for prospective investments and follow-up with sell-side analysts.  B. Investor Reporting      1. Works with LPs in providing timely investment reports of portfolio investments.   C. Transaction Experience       1. Successfully worked with lawyers, investors and bankers to close a  transaction, acquiring a mid-market IT services company in India.       2. Executed a further share buy-back of a portfolio company.   D. Legal & Compliance      1. Assists in monitoring Compliance protocols, including conducting periodic reviews of relevant declarations and risk management.      2. Prepare regulatory filings to the Monetary Authority of Singapore.        3. Work with an array of service providers including auditors, lawyers, consultants and corporate secretary services.",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
86b3a86d455f9fb25df2e8e7fafb76da,Female,,Y,,"NTU, Double Degree in Accountancy and Business (Banking and Finance)","Golden Agri International Pte Ltd, Senior Trade Control Analyst",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
296b0cddcfc4a8843102360ff0674409,Female,,Y,,"SIM University, Basic Degree (Business Analytics)","SIM University, Associate Researcher.",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
588dae49e9e38d1d61808078faa83f92,Female,,Y,,"St.Joseph's College of Engineering - Chennai , India / Bachelor of Engineering in Electrical and Electronics Engineering   Currently pursuing Master of IT in Business(Analytics)",Currently a Student in Singapore Management University pursuing Master of IT in Business Analytics.  I have 4 years of working experience in IT as a Programmer Analyst,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
e3214102f27716f106494ba76101790c,Female,,Y,,"B.Sc (Hons) in Biomedical Science, Murdoch University (Perth, Western Australia)",I am working as a Research officer in National Cancer Centre Singapore.,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
0ecf49ab3eca24a26d778633dd949d28,Female,,Y,,"National University of Singapore, BA of Arts",Currently freelancing. Was previously working in corporate and online communications and marketing.,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
5118cc55470437d48c563de5350fd866,Female,,Y,,"National University of Singapore, Bachelor of Science (with First Class Honours)","Ministry of Trade & Industry, Senior Assistant Director",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
af7ffa4e89047ba656b11e1c9768c17a,Female,,Y,,"SMU, BSocSc",Supply chain for a global mining company,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
b3f632c39cf798bb2e027f4caefa309c,Female,,Y,,SMU Bachelor of Laws,I work as the Programmes Manager at Climb Central,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
63288b0d51e1466f9ff6cf179503e912,Female,,Y,,"In Korea, Bachelor Degree","I am currently working in Singapore, management consulting company targeting Korean. My current role is a system administrator.",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
c7b7528459bfaf35d4bad7432de0134c,Female,,Y,,"Anglo Chinese Junior College, University at Buffalo, Bachelor of Arts in Communication",In the midst of working out a junior developer role at a start up,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
801226f7ee5a2a2cdcc6be56e1573a58,Female,,Y,,"Bachelor of Science in Computer Engineering University of Saint La Salle  , Bacolod Philippines","Toshiba TEC Singapore Pte Ltd , working as Product Coordinator",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
e99efd94d05b59536863365a3d947860,Female,,Y,,Nanyang Technological University - Bachelor of Business,Airbnb - Fraud Specialist,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
b535880c0b1782dd4733fc4d6c7a4bf9,Female,,Y,,I completed Diploma in Mobile and Network Services at Temasek Polytechnic.,I'm currently pursuing Degree in Computing Science at SIT.,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
e9147939aeafcf0126d3e4c8d8d26e60,Female,,Y,,Singapore University of Technology and Design - Information System Technology and Design,Student,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
ebdb249e8fa95fa9799229d1001566cf,Female,,Y,,"NTU, Bachelor",NA,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
042331f5f0f3cbb203bfa4303f6c6b85,Female,,Y,,"NTU, Bachelor Degree",Full time postgraduate student in NUS (Graduate diploma in System Analysis),,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
41f9da6da15e13029ea5ded88f6897a1,Female,,Y,,"NTU, bachelor of Maths and Econs","MediaCom, Business Science Analytics",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
547d5b4b86a0f0397e6f31acff628b88,Female,,Y,,Nanyang Technological University   Masters of Science in Technology Management,I am currently a student. I previously did a summer internship in business analytics where I developed visual analytics solution to inspire inquiry processes and drive business value.,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
53e04cfc66cd8449d3eaf9c636c417f7,Female,,Y,,Murdoch University. Highest degree is the one that Im currently pursuing.. BA in Digital Media in web communications.,I'm currently looking for a job as front-end developer,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
0025aa58b66a093bf537cfa11bc849e1,Female,,Y,,Finished my Bachelor of Arts in Lingnan University in Hong Kong,"Working as Business Development Manager in AccelerAsia, a startup accelerator in Singapore.",,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
80fcaa3a787a15c01fef7159cbd745cf,Female,,Y,,University of Warwick; Bachelor,Graduate student,,,,,,2016-01-01,Singapore,,Intro to Data (DG),1,1
